Step,Changes,Fire_Safety_Index,Max_Temperature,CO_Concentration,Oxygen_Consumed,Total_Smoke
0,4,97.23,42.86,20.0,0.011999999999999981,0.77
1,6,92.0132,63.62270716625,60.0,0.0306133333333332,1.9868000000000001
2,11,84.2747072,83.39276089956562,120.00000000000001,0.05708821333333308,3.7252928000000005
3,16,70.3868355712,103.04110301684418,230.00000000000003,0.10063607381333257,6.6131644288
4,23,50.161796600115196,122.78793651125008,390.00000000000006,0.16438672333141208,10.8382033998848
5,35,21.047450442629938,142.80651226742313,620.0,0.25670915928949894,16.952549557370062
6,47,0,163.1935911246727,969.9999999999998,0.39517275861042755,26.135365516625836
7,57,0,185.11885803404704,1439.9999999999998,0.5871303335635808,38.827820013815106
8,80,0,208.47373577598393,2010.000000000001,0.8343553871824795,55.086323230949134
9,95,0,233.21589073698868,2810.0,1.1770271769594693,77.64663061756872
10,118,0,259.3316267829485,3760.000000000001,1.6075475775472219,105.85285465283404
11,137,0,286.77991597693506,4940.000000000002,2.1552649024513744,141.66589414708324
12,162,0,315.502009140262,6310.000000000001,2.822335573215451,185.11513439292818
13,187,0,345.42683722357935,7929.999999999995,3.6343865191653153,237.88819114992054
14,216,0,376.47405268601113,9800.000000000002,4.604390183426649,300.76341100560063
15,250,0,406.66340227834104,11960.0,5.754168502751245,375.15011016507657
16,287,0,436.44507008421965,14459.999999999995,7.111239292739503,462.8243575643722
17,312,0,466.1241772903487,17329.999999999996,8.700171788957894,565.3353073374758
18,339,0,495.89928123952893,20449.999999999993,10.506466464286207,681.512987857174
19,391,0,527.5273792923648,23839.999999999985,12.543974730440615,812.2384838264397
20,417,0,565.1798045427456,27750.000000000007,14.887093614872285,962.6006168923399
21,462,0,602.7145982823354,31919.999999999993,17.489562959466383,1129.1737775679862
22,506,0,637.9671442462575,36540.00000000006,20.40505609761021,1315.653365856616
23,541,0,671.1863228199752,41599.99999999999,23.645377035361324,1522.7226221216877
24,584,0,702.5823208257669,47010.0,27.197974039541133,1749.4034423724788
25,617,0,732.3108176445478,52850.0,31.085773731243638,1997.271423874627
26,652,0,760.4711602299033,59020.00000000005,35.28799548758988,2264.8297292554
27,689,0,787.1226203408879,65540.00000000007,39.80935513817979,2552.411308290795
28,736,0,815.5567848085203,72430.00000000004,44.64764698135577,2859.933818881355
29,768,0,845.1278509295934,79789.99999999999,49.82713055817858,3189.102833490726
30,809,0,872.527798412746,87470.00000000003,55.30661941326483,3537.072164795907
31,856,0,897.8122447340312,95560.00000000012,61.100642518492506,3904.9385511095693
32,896,0,921.0226495356028,104120.00000000007,67.21756725319125,4293.354035191503
33,930,0,942.1904070359526,113080.0,73.63439015330363,4700.763409198264
34,975,0,961.339654806843,122380.00000000009,80.32332118699614,5125.349271219805
35,1020,0,978.4892256183847,132130.00000000003,87.29472504169127,5568.008502501515
36,1072,0,993.654020454798,142330.00000000006,94.53499647605403,6027.924788563279
37,1113,0,1006.8459855560947,153049.99999999965,102.05563477144617,6505.963086286784
38,1164,0,1018.0748172016062,164180.00000000006,109.82295754247401,6999.827452548434
39,1210,0,1027.4158925674294,175800.00000000003,117.83837228251326,7509.852336950791
