Step,Changes,Fire_Safety_Index,Max_Temperature,CO_Concentration,Oxygen_Consumed,Total_Smoke
26,78,0,2106.8330860072506,13130.000000000002,864.8127563853159,514.8466538311901
27,77,0,2209.025002657862,13999.99999999999,916.9049078163628,545.7989446898177
28,75,0,2310.032321137324,14810.0,964.1488497635091,573.8423098581058
29,75,0,2385.7674628108593,15579.999999999998,1006.5469519203635,598.9751711522183
30,72,0,2438.0518179121536,16320.000000000007,1044.1731847763851,621.2419108658314
31,62,0,2468.7161405728025,17020.0,1077.3225083196844,640.8165049918109
32,57,0,2517.7421160271233,17620.0,1106.0293757157344,657.7256254294413
33,56,0,2558.94884764397,18190.0,1130.9881289072516,672.3828773443514
34,51,0,2604.366645856751,18699.999999999996,1151.940735250357,684.6364411502145
35,44,0,2713.8285226244284,19170.00000000001,1170.015400886289,695.1572405317737
36,39,0,2795.2547922596364,19560.000000000004,1185.196136972611,703.9416821835674
37,36,0,2851.1764246031094,19900.0,1198.7339327632749,711.7343596579659
38,31,0,2883.773556155535,20210.0,1211.5150441586954,719.0640264952178
39,30,0,2895.1978522266813,20499.999999999996,1223.9909113250637,726.2075467950385
40,29,0,2888.1100255238894,20800.000000000004,1236.8954804858076,733.5962882914852
41,31,0,2865.289345508785,21110.000000000004,1249.7482119776646,740.9509271865998
42,27,0,2829.0193206168033,21389.999999999996,1262.4476785400407,748.2106071240253
43,21,0,2785.3881539577083,21620.0,1275.1639556085336,755.4803733651211
44,21,0,2746.1779067782068,21850.000000000004,1287.9382664711388,762.7849598826845
45,20,0,2710.7402473974685,22070.0,1300.701768581123,770.0830611486746
46,16,0,2678.549784017578,22280.0,1313.1624126585602,777.1994475951368
47,15,0,2649.1763728178908,22470.0,1325.2272408164072,784.0783444898452
48,14,0,2622.264557135749,22660.0,1336.7303968370659,790.6202381022406
49,13,0,2597.518078854667,22840.0,1347.1743285185953,796.5265971111579
50,15,0,2574.688056229853,23010.0,1356.4978065985304,801.760683959119
51,14,0,2553.563853110448,23160.0,1364.3773460808254,806.1284076484965
52,15,0,2533.9659524079134,23310.0,1370.8568855631213,809.656131337874
53,14,0,2515.7403418539966,23450.000000000004,1375.8644557465975,812.3006734479595
54,14,0,2498.754054438294,23590.0,1379.4720259300732,814.1052155580452
55,12,0,2482.8915998161606,23710.0,1381.7356575159101,815.1033945095471
56,12,0,2468.052089626946,23830.0,1382.7992891017466,815.381573461049
57,10,0,2454.1469076854323,23930.0,1382.7189820899437,814.9733892539673
58,7,0,2441.0978111110685,24000.0,1381.7227671816815,814.01566030901
59,6,0,2428.835374462432,24060.0,1380.0545829745995,812.654749784761
60,2,0,2417.2977084444283,24080.0,1377.8985215722387,811.0011129433448
61,1,0,2406.4293995415505,24090.0,1375.570490871058,809.2442945226369
62,0,0,2396.1806282523326,24090.0,1373.170490871059,807.4442945226366
63,0,0,2386.5064323446486,24090.0,1370.7704908710587,805.644294522637
64,0,0,2377.366088356649,24090.0,1368.3704908710586,803.844294522637
65,0,0,2368.7225898989955,24090.0,1365.9704908710585,802.044294522637
66,0,0,2360.5422055140925,24090.0,1363.5704908710584,800.2442945226367
67,0,0,2352.7941021738256,24090.0,1361.1704908710583,798.4442945226366
68,0,0,2345.4500231425345,24090.0,1358.770490871058,796.6442945226366
69,0,0,2338.4840110441983,24090.0,1356.3704908710579,794.8442945226369
70,0,0,2331.8721686654435,24090.0,1353.9704908710587,793.044294522637
71,0,0,2325.5924513867685,24090.0,1351.5704908710586,791.244294522637
72,0,0,2319.6244862316453,24090.0,1349.1704908710585,789.4442945226372
73,0,0,2313.949413410402,24090.0,1346.7704908710584,787.6442945226373
74,0,0,2309.623651624268,24090.0,1344.3704908710583,785.8442945226373
75,0,0,2307.813573784194,24090.0,1341.9704908710587,784.044294522637
76,0,0,2306.000571805839,24090.0,1339.5704908710582,782.2442945226369
77,0,0,2304.194620727972,24090.0,1337.1704908710587,780.4442945226374
78,0,0,2302.4038116087086,24090.0,1334.7704908710587,778.6442945226374
79,0,0,2300.6346499684496,24090.0,1332.3704908710588,776.8442945226373
80,0,0,2298.892307490187,24090.0,1329.9704908710587,775.0442945226375
81,0,0,2297.1808347382635,24090.0,1327.570490871059,773.2442945226378
82,0,0,2295.5033412176094,24090.0,1325.1704908710585,771.4442945226376
83,0,0,2293.8621479681487,24090.0,1322.7704908710584,769.6442945226374
84,0,0,2292.2589169926005,24090.0,1320.3704908710583,767.8442945226371
85,0,0,2290.694761094207,24090.0,1317.9704908710582,766.0442945226373
86,0,0,2289.1703371140898,24090.0,1315.5704908710582,764.2442945226376
87,0,0,2287.68592507691,24090.0,1313.170490871059,762.4442945226377
88,0,0,2286.241495356662,24090.0,1310.7704908710587,760.6442945226377
